,0,1,2,3,4
129,190,中银新回报灵活配置混合A,http://fund.eastmoney.com/000190.html,0.23%,0.12%
130,191,富国信用债债券A/B,http://fund.eastmoney.com/000191.html,0.04%,0.08%
131,192,富国信用债债券C,http://fund.eastmoney.com/000192.html,0.04%,0.00%
132,194,银华信用四季红债券A,http://fund.eastmoney.com/000194.html,0.09%,0.08%
133,195,工银成长收益混合A,http://fund.eastmoney.com/000195.html,0.14%,0.12%
134,196,工银成长收益混合B,http://fund.eastmoney.com/000196.html,0.14%,0.00%
135,197,富国目标收益一年期纯债债券,http://fund.eastmoney.com/000197.html,0.00%,0.06%
136,199,国泰量化策略收益混合,http://fund.eastmoney.com/000199.html,0.98%,0.12%
137,200,博时岁岁增利一年定开债,http://fund.eastmoney.com/000200.html,---,0.06%
138,201,诺安泰鑫一年定开债A,http://fund.eastmoney.com/000201.html,0.00%,0.06%
139,205,易方达投资级信用债债券A,http://fund.eastmoney.com/000205.html,0.00%,0.08%
140,206,易方达投资级信用债债券C,http://fund.eastmoney.com/000206.html,0.09%,0.00%
141,207,建信双债增强债券A,http://fund.eastmoney.com/000207.html,0.63%,0.08%
142,208,建信双债增强债券C,http://fund.eastmoney.com/000208.html,0.65%,0.00%
143,209,信诚新兴产业混合,http://fund.eastmoney.com/000209.html,1.15%,0.15%
144,212,泰信鑫益定期开放A,http://fund.eastmoney.com/000212.html,---,0.06%
145,213,泰信鑫益定期开放C,http://fund.eastmoney.com/000213.html,---,0.00%
146,214,广发成长优选混合,http://fund.eastmoney.com/000214.html,0.24%,0.15%
147,215,广发趋势优选灵活配置混合A,http://fund.eastmoney.com/000215.html,0.26%,0.15%
148,216,华安黄金易ETF联接A,http://fund.eastmoney.com/000216.html,-0.55%,0.06%
149,217,华安黄金易ETF联接C,http://fund.eastmoney.com/000217.html,-0.55%,0.00%
150,218,国泰黄金ETF联接A,http://fund.eastmoney.com/000218.html,-0.55%,0.07%
151,219,博时裕益混合,http://fund.eastmoney.com/000219.html,1.77%,0.15%
152,220,富国医疗保健行业混合A,http://fund.eastmoney.com/000220.html,0.16%,0.15%
153,221,汇添富年年利定开债A,http://fund.eastmoney.com/000221.html,0.08%,0.06%
154,222,汇添富年年利定开债C,http://fund.eastmoney.com/000222.html,0.08%,0.00%
155,227,华安年年红债券A,http://fund.eastmoney.com/000227.html,---,0.06%
156,235,诺安稳固收益一年定开债,http://fund.eastmoney.com/000235.html,---,0.00%
157,236,工银月月薪定期支付债券A,http://fund.eastmoney.com/000236.html,0.06%,0.08%
158,239,华安年年盈定开债A,http://fund.eastmoney.com/000239.html,---,0.06%
159,240,华安年年盈定开债C,http://fund.eastmoney.com/000240.html,---,0.00%
160,241,宝盈核心优势混合C,http://fund.eastmoney.com/000241.html,0.04%,---
161,242,景顺长城策略精选灵活配置混合,http://fund.eastmoney.com/000242.html,1.40%,0.15%
162,244,天弘稳利定期开放A,http://fund.eastmoney.com/000244.html,0.23%,0.06%
163,245,天弘稳利定期开放B,http://fund.eastmoney.com/000245.html,0.22%,0.00%
164,246,博时月月薪定期支付债券,http://fund.eastmoney.com/000246.html,---,0.00%
165,248,汇添富中证主要消费ETF联接,http://fund.eastmoney.com/000248.html,0.37%,0.10%
166,251,工银金融地产混合A,http://fund.eastmoney.com/000251.html,1.59%,0.15%
167,252,景顺长城景兴信用纯债债券A,http://fund.eastmoney.com/000252.html,0.00%,0.08%
168,253,景顺长城景兴信用纯债债券C,http://fund.eastmoney.com/000253.html,0.00%,0.00%
169,254,长城定开债A,http://fund.eastmoney.com/000254.html,0.06%,0.06%
170,255,长城定开债C,http://fund.eastmoney.com/000255.html,0.06%,0.00%
171,256,上投摩根红利回报混合A,http://fund.eastmoney.com/000256.html,0.28%,0.12%
172,259,农银区间收益混合,http://fund.eastmoney.com/000259.html,0.28%,0.15%
173,263,工银信息产业混合A,http://fund.eastmoney.com/000263.html,0.84%,0.15%
174,264,博时内需增长混合,http://fund.eastmoney.com/000264.html,0.99%,0.15%
175,265,易方达恒久添利1年定开债A,http://fund.eastmoney.com/000265.html,0.10%,0.06%
176,266,易方达恒久添利1年定开债C,http://fund.eastmoney.com/000266.html,0.10%,0.00%
177,267,广发集利一年定开债A,http://fund.eastmoney.com/000267.html,---,0.08%
